,lifetime_gross
1386,68706993
1387,54814377
1388,221193
1389,32901136
1390,181233
1391,11841544
1392,35927406
1393,125618201
1394,13692848
1395,3309421
1396,20677
1397,22459274
1398,54930280
1399,58406347
1400,58406347
1401,13717039
1402,44229441
1403,19868354
1404,356749
1405,496059
1406,3146
1407,3146
1408,3146
1409,3146
1410,1995911
1411,10686841
1412,92977226
1413,31642995
1414,138433435
1415,4134
1416,30882515
1417,8329
1418,76054
1419,101363301
1420,3263585
1421,659363944
1422,659363944
1423,659363944
1424,125304276
1425,25198598
1426,25198598
1427,25198598
1428,323411
1429,75383563
1430,870290
1431,39673162
1432,5684789
1433,21437192
1434,17451873
1435,2465960
1436,26420672
1437,26420672
1438,26420672
1439,26420672
1440,26420672
1441,375805
1442,6754958
1443,8165212
1444,8165212
1445,12874899
1446,12874899
1447,43061945
1448,14378331
1449,14378331
1450,18012
1451,7029025
1452,19870567
1453,17460020
1454,25232289
1455,25232289
1456,25232289
1457,25232289
1458,375261
1459,163145
1460,397517
1461,29342592
1462,11203026
1463,118475
1464,19204929
1465,39371
1466,125397
1467,14051384
1468,5485295
1469,5485295
1470,80245725
1471,37020277
1472,205246
1473,5878911
1474,148478011
1475,2554476
1476,910773
1477,910773
1478,192769854
1479,192769854
1480,57167405
1481,37621
1482,2581012
1483,1546414
1484,13583690
1485,13583690
1486,13583690
1487,13583690
1488,1740156
1489,56968902
1490,56968902
1491,56968902
1492,10452012
1493,30147739
1494,26875268
1495,4390
1496,500000
1497,500000
1498,39001187
1499,214661
1500,282175
1501,1130732
1502,65460
1503,65460
1504,65460
1505,65460
1506,65460
1507,2057193
1508,222099
1509,12355
1510,1903434
1511,1903434
1512,29187243
1513,4356216
1514,77910
1515,23047939
1516,12218638
1517,720074
1518,2178160
1519,69117629
1520,32935289
1521,9584314
1522,78685114
1523,3020601
1524,18912328
1525,8072007
1526,21567853
1527,1677131
1528,80837
1529,1713459
1530,2087471
1531,266130
1532,22619589
1533,22619589
1534,22619589
1535,4106588
1536,7571115
1537,83488
1538,12716953
1539,623983
1540,19221939
1541,3572443
1542,123104
1543,123104
1544,533759
1545,27007143
1546,2172941
1547,12951088
1548,676631
1549,228455
1550,537948
1551,140464664
1552,104255
1553,104255
1554,8064972
1555,106404
1556,22510798
1557,136314294
1558,136314294
1559,136314294
1560,26528185
1561,10680275
1562,5881367
1563,6136856
1564,60053195
1565,67355513
1566,67355513
1567,12958
1568,67638368
1569,181881
1570,25605015
1571,1295194
1572,1960216
1573,238497
1574,250897
1575,933933
1576,17744
1577,24727
1578,2284034
1579,1338335
1580,301796
1581,120620254
1582,144156605
1583,144156605
1584,37562568
1585,6745362
1586,2375097
1587,201578182
1588,201578182
1589,201578182
1590,130444603
1591,29967750
1592,54682547
1593,3221152
1594,307037
1595,176484651
1596,23650000
1597,7221458
1598,7221458
1599,36000000
1600,44064958
1601,44785053
1602,51700000
1603,117235147
1604,54766923
1605,58972904
1606,108423489
1607,87071205
1608,43984230
1609,172825435
1610,106593296
1611,129000
1612,2938208
1613,13758362
1614,13758362
1615,13758362
1616,13758362
1617,45875171
